Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torremolinos-casas-campestres/4212-C00009-01,,$1.040.000.000,3,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-casas-3/1572-C00012-01,,$1.295.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/camino-del-bosque/5449-C00003-01,,$3.900.000.000,4,5 o más,,
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-5-habitaciones-5-banos-0-garajes/2415-51362,,$1.500.000.000,5 o más,5 o más,,
Casa en Venta; Bogotá D.C.; EL CONTADOR,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-el-contador-3-habitaciones-4-banos-2-garajes/2412-500412,,$850.000.000,3,4,,2
Casa en Venta; Bogotá D.C.; COLINA CAMPESTRE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-del-prado-3-habitaciones-3-banos-2-garajes/228-460,,$950.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; FLORESTA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-julio-florez-5-habitaciones-4-banos-3-garajes/183-12552,,$650.000.000,5 o más,4,,3
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-3-habitaciones-3-banos-2-garajes/635-454,,$1.230.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; MUZU,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-ospina-perez-4-habitaciones-3-banos/228-489,,$276.000.000,4,3,,
Casa en Venta; Bogotá D.C.; SUBA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-rincon-de-santa-ines-3-habitaciones-1-banos/228-496,,$130.000.000,3,1,,
Casa en Venta; Bogotá D.C.; SANTA ANA OCCIDENTAL,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-santa-ana-occidental-1-habitaciones-0-banos-0-garajes/293-21930,,$4.157.160.000,1,,,
Casa en Venta; Bogotá D.C.; NIZA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-4-habitaciones-4-banos-0-garajes/3422-900-7,,$950.000.000,4,4,,
Casa en Venta; Bogotá D.C.; MONACO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-monaco-4-habitaciones-2-banos-3-garajes/346-3193,,$950.000.000,4,2,,3
Casa en Venta; Bogotá D.C.; ALCAZARES NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-alcazares-norte-4-habitaciones-3-banos-2-garajes/3240-54220,,$650.000.000,4,3,,2
Casa en Venta; Bogotá D.C.; COLINA CAMPESTRE III| IV| V| V,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-gilmar-3-habitaciones-3-banos-1-garajes/2529-84880,,$410.000.000,3,3,,1
Casa en Venta; Bogotá D.C.; COLINA VICTORIA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-victoria-norte-3-habitaciones-2-banos-1-garajes/3422-885-8,,$395.000.000,3,2,,1
Casa en Venta; Bogotá D.C.; BOSA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-el-corzo-4-habitaciones-3-banos-1-garajes/836-M1969764,,$180.000.000,4,3,,1
Casa en Venta; Bogotá D.C.; PONTEVEDRA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-potosi-3-habitaciones-3-banos-2-garajes/183-12546,,$680.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; MINUTO DE DIOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-minuto-de-dios-4-habitaciones-2-banos-0-garajes/836-M1969761,,$380.000.000,4,2,,
Casa en Venta; Bogotá D.C.; NIZA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-4-habitaciones-2-banos-2-garajes/346-3192,,$1.300.000.000,4,2,,2
