Sku-Estilo;Categoria;Url;Nombre;Fotos;Tallas;Notas;Colores;Ficha Tecnica
"C0601";"Uniformes";"https://www.yazbek.com.mx/item/camisa-de-mezclilla.html?id=4580";"Camisa de Mezclilla Manga Larga Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0601.swf";"CH, M, G, EG";"Peso: 258 gr/m 2 Tejido: Mezclilla 100% algodón.";"Indigo Claro";"Link Ficha Tecnica";
"C0602";"Uniformes";"https://www.yazbek.com.mx/item/camisas-mil-rayas.html?id=4580";"Camisa Oxford Mil Rayas Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0602.swf";"CH, M, G, EG";"Peso: 162 gr./m 2 Tejido: Oxford mil rayas. 75% algodón, 25% poliéster";"Blanco/ Cielo, Blanco/ Rojo, Blanco, Blanco/ Gris, Cielo, Rojo";"Link Ficha Tecnica";
"C0603";"Uniformes";"https://www.yazbek.com.mx/item/camisa-mil-rayas.html?id=4580";"Camisa Oxford Mil Rayas Manga Larga Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0603.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford mil rayas. 75% algodón, 25% poliéster";"Blanco/ Cielo, Blanco/ Rojo, Blanco, Blanco/ Gris, Cielo, Rojo";"Link Ficha Tecnica";
"C0604";"Uniformes";"https://www.yazbek.com.mx/item/camisas-oxford.html?id=4580";"Camisa Oxford Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0604.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford liso. 75% algodón, 25% poliéster";"Blanco, Paja, Cielo";"Link Ficha Tecnica";
"C0605";"Uniformes";"https://www.yazbek.com.mx/item/camisa-oxford.html?id=4580";"Camisa Oxford Manga Larga Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0605.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford liso. 75% algodón, 25% poliéster";"Blanco, Paja, Cielo";"Link Ficha Tecnica";
"C0606";"Uniformes";"https://www.yazbek.com.mx/item/c0606.html?id=4580";"Camisa de Gabardina Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0606.swf";"CH, M, G, EG";"Peso: 160 gr/m 2 Tejido: Gabardina. Composición: 50% algodón, 50% poliéster";"Negro, Blanco, Beige, Marino, Rojo";"Link Ficha Tecnica";
"C0607";"Uniformes";"https://www.yazbek.com.mx/item/c0607.html?id=4580";"Camisa de Gabardina Manga Larga Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0607.swf";"CH, M, G, EG";"Peso: 160 gr/m 2 Tejido: Gabardina. Composición: 50% algodón, 50% poliéster";"Negro, Blanco, Beige, Marino, Rojo";"Link Ficha Tecnica";
"C0650";"Uniformes";"https://www.yazbek.com.mx/item/pantalon-gabardina.html?id=4580";"Pantalón de Gabardina Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0650.swf";"M";"Peso: 254 g/m 2 Tejido: Gabardina 100% algodón.";"Negro, Marino, Khaki";"Link Ficha Tecnica";
"C0651";"Uniformes";"https://www.yazbek.com.mx/item/pantalon-de-mezclilla.html?id=4580";"Pantalón de Mezclilla Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0651.swf";"M";"Peso: 407 gr/m 2 Tejido: Mezclilla 100% algodón.";"Indigo Claro";"Link Ficha Tecnica";
"D0600";"Uniformes";"https://www.yazbek.com.mx/item/camisa-mezclilla-dama.html?id=4580";"Camisa de Mezclilla Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0600.swf";"CH, M, G, EG";"Peso: 258 gr/m 2 Tejido: Mezclilla. 100% algodón";"Indigo Claro";"Link Ficha Tecnica";
"D0601";"Uniformes";"https://www.yazbek.com.mx/item/camisas-mezclilla-dama.html?id=4580";"Camisa de Mezclilla Manga Larga Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0601.swf";"CH, M, G, EG";"Peso: 258 gr/m 2 Tejido: Mezclilla. 100% algodón";"Indigo Claro";"Link Ficha Tecnica";
"D0602";"Uniformes";"https://www.yazbek.com.mx/item/camisa-mil-rayas-mangacorta.html?id=4580";"Camisa Oxford Mil Rayas Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0602.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford mil rayas. 75% algodón, 25% poliéster";"Blanco/ Cielo, Blanco/ Rojo, Blanco, Blanco/ Gris, Cielo, Rojo";"Link Ficha Tecnica";
"D0603";"Uniformes";"https://www.yazbek.com.mx/item/camisa-mil-rayas-dama.html?id=4580";"Camisa Oxford Mil Rayas Manga Larga Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0603.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford mil rayas. 75% algodón, 25% poliéster";"Blanco/ Cielo, Blanco/ Rojo, Blanco, Blanco/ Gris, Cielo, Rojo";"Link Ficha Tecnica";
"D0604";"Uniformes";"https://www.yazbek.com.mx/item/blusas-oxford.html?id=4580";"Camisa Oxford Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0604.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford liso. 75% algodón, 25% poliéster";"";"Link Ficha Tecnica";
"D0605";"Uniformes";"https://www.yazbek.com.mx/item/blusa-oxford.html?id=4580";"Camisa Oxford Manga Larga Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0605.swf";"CH, M, G, EG";"Peso: 162 g/m 2 Tejido: Oxford liso. 75% algodón, 25% poliéster";"";"Link Ficha Tecnica";
"D0606";"Uniformes";"https://www.yazbek.com.mx/item/d0606.html?id=4580";"Camisa de Gabardina Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0606.swf";"CH, M, G, EG";"Peso: 160 gr/m 2 Tejido: Gabardina. Composición: 50% algodón, 50% poliéster";"Negro, Blanco, Beige, Marino, Rojo";"Link Ficha Tecnica";
"D0607";"Uniformes";"https://www.yazbek.com.mx/item/d0607.html?id=4580";"Camisa de Gabardina Manga Larga Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0607.swf";"CH, M, G, EG";"Peso: 160 gr/m 2 Tejido: Gabardina. Composición: 50% algodón, 50% poliéster";"Negro, Blanco, Beige, Marino, Rojo";"Link Ficha Tecnica";
"D0650";"Uniformes";"https://www.yazbek.com.mx/item/pantalon-gabardina-dama.html?id=4580";"Pantalón de Gabardina Para Dama.";"https://www.yazbek.com.mx/files/selector/d0650.swf";"M";"Peso: 254 g/m 2 Tejido: Gabardina 100% algodón.";"Negro, Marino, Khaki";"Link Ficha Tecnica";
"D0651";"Uniformes";"https://www.yazbek.com.mx/item/pantalon-mezclilla-dama.html?id=4580";"Pantalón de Mezclilla Para Dama.";"https://www.yazbek.com.mx/files/selector/d0651.swf";"M";"Peso: 407 gr/m 2 Tejido: Mezclilla 100% algodón.";"";"Link Ficha Tecnica";
