"CODIGO","NOMBRE","PRECIO","IMAGEN","CATEGORIA"
"LB1004","Aceite Base Semilla de Uva","$168.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1241/LB1004.jpg","aromaterapia\aceites-esenciales"
"LB1005","Aceite Esencial de Geranio","$328.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1242/LB1005.jpg","aromaterapia\aceites-esenciales"
"LB1006","Aceite Esencial de Menta","$237.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1243/lb1006.jpg","aromaterapia\aceites-esenciales"
"LB1007","Aceite Esencial de Naranja","$161.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1244/LB1007.jpg","aromaterapia\aceites-esenciales"
"LB1008","Aceite Esencial de Tomillo","$314.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1245/LB1008.jpg","aromaterapia\aceites-esenciales"
"LB1009","Aceite Esencial de Incienso","$328.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1246/LB1009.jpg","aromaterapia\aceites-esenciales"
"LB1010","Aceite Esencial de Orégano","$265.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1247/lb1010.jpg","aromaterapia\aceites-esenciales"
"LB1011","Aceite Esencial de Patchouli","$279.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1248/BL1011.jpg","aromaterapia\aceites-esenciales"
"LB1014","Aceite Esencial de Toronja","$230.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1249/LB1014.jpg","aromaterapia\aceites-esenciales"
"0453","Chemisette Microfibra Térmica Manga Corta Niñas","$188.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/47/0453_101.jpg","termico\termicos-nino"
"0466","Chemisette Microfibra Térmica Manga Larga Niños","$188.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/63/0466_80_2.jpg","termico\termicos-nino"
"0454","Chemisette Microfibra Térmica Manga Larga Niñas","$188.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/52/0454_80.jpg","termico\termicos-nino"
"0467","Chemisette Microfibra Térmica Manga Corta Niños","$188.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/66/0467_80_2.jpg","termico\termicos-nino"
"PSEP1701","Eucalipto a precio especial comprando incienso y tea tree","$669.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1481/58eucalipto.jpg","paquetes\productos-individuales"
"PSEP1702","Naranja a precio especial comprando orégano y geranio","$638.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1480/70naranja.jpg","paquetes\productos-individuales"
"PSEP1703","Menta a precio especial comprando Manzanilla y Lavanda","$689.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1479/52menta.jpg","paquetes\productos-individuales"
"PX1701","Tanga encaje algodón coquet (Pack con 2)","$202.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1407/PV1706_75.jpg","paquetes\productos-individuales"
"PX1704","Set de romero (Shampoo gel y crema)","$364.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1408/PX1704.jpg","paquetes\productos-individuales"
"PX1706","Bloqueador corporal con Nuevo aroma a coco más bloqueador facial","$279.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1410/PAQUETE_COCO.jpg","paquetes\productos-individuales"
"PX1707","Set de argán (shampoo tratamiento y elixir) más re vívelo al 50 por ciento","$534.10","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1411/PX1707.jpg","paquetes\productos-individuales"
"PX1708","Tónico facial más Desmaquillante óleo DE REGALO 20 Pétalos de algodón","$279.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1412/px1708.jpg","paquetes\productos-individuales"
"PX1710","Almohadilla con encaje (2 pares)","$126.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1413/px1710.jpg","paquetes\productos-individuales"
"PX1711","Faja firmeza abdominal (Pack con 2)","$476.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1414/px1711.jpg","paquetes\productos-individuales"
"PX1712","Calcetín de cobre (2 Pares)","$546.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1415/px1712.jpg","paquetes\productos-individuales"
"PX1713","Set de Afeitado (Shaving cream broca y aftershave)","$399.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1416/px1713.jpg","paquetes\productos-individuales"
"PX1714","Body modelante (Pack con 2)","$642.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1417/PX1714.jpg","paquetes\productos-individuales"
"PX1715","Faja Lifting reductora (Pack con 2)","$488.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1418/PX1715.jpg","paquetes\productos-individuales"
"PX1716","Top Mia Reductora (Pack con 2)","$929.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1419/PX1716.jpg","paquetes\productos-individuales"
"PX1717","Top Mia reductora elegance (Pack con 2)","$929.60","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1420/PX1717.jpg","paquetes\productos-individuales"
"PX1718","Curvas perfectas (Pack con 2)","$476.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1421/PX1718.jpg","paquetes\productos-individuales"
"PX1719","Cinturilla Ideal 60 (Pack con 2)","$476.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1422/PX1719.jpg","paquetes\productos-individuales"
"PX1720","Almohadilla acolchonada con encaje (Pack con 2)","$237.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1423/PX17120.jpg","paquetes\productos-individuales"
"3040","Juliana Top","$329.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1424/3040.jpg","paquetes\productos-individuales"
"3041","Flavia Top","$377.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1428/3041_143.jpg","paquetes\productos-individuales"
"3035","Amalia Top","$329.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1431/3035.jpg","paquetes\productos-individuales"
"3037","Bruna Top","$329.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1432/3037_1.jpg","paquetes\productos-individuales"
"3039","Priscila Top","$287.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1435/3039.jpg","paquetes\productos-individuales"
"3038","Polina Top","$377.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1437/3038.jpg","paquetes\productos-individuales"
"PX324","Básica de tirantes por sólo $30","$30.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1439/PX324.jpg","paquetes\productos-individuales"
"PX325","Chemisette colors por sólo $50","$50.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1440/PX325.jpg","paquetes\productos-individuales"
"PX326","Chemisette manga corta por sólo $50","$50.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1441/PX326.jpg","paquetes\productos-individuales"
"PX327","Chemisette sin manga Hombre por sólo $50","$50.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1442/PX327.jpg","paquetes\productos-individuales"
"PX328","Camiseta térmica de niña manga corta por sólo $50","$50.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1443/PX328.jpg","paquetes\productos-individuales"
"PX329","Camiseta térmica de niño manga corta por sólo $50","$50.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1444/PX329.jpg","paquetes\productos-individuales"
"R1993","Coordinado para dormir luna encaje más desmaquillante facial","$348.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1445/1993_106.jpg","paquetes\productos-individuales"
"R1996","Coordinado para dormir Alma más desmaquillante facial","$348.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1446/1996_02.jpg","paquetes\productos-individuales"
"R1997","Coordinado para dormir luz más desmaquillante facial","$348.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1447/1997_15.jpg","paquetes\productos-individuales"
"R1998","Coordinado para dormir zen más desmaquillante facial","$348.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1448/1998_42.jpg","paquetes\productos-individuales"
"04232191","Chemisette térmica Colors Color Oro","$202.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1449/0423_ORO.jpg","paquetes\productos-individuales"
"0467493","Chemisette térmica infantil color piel","$188.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1450/0467.jpg","paquetes\productos-individuales"
"LP6013-1","Body Mist Citrus 200ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1451/lp6013_3.jpg","paquetes\productos-individuales"
"LP6013-2","Concentrado Citrus 60ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1452/LP6013_2.jpg","paquetes\productos-individuales"
"LP6013-3","Crema citrus 35 ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1453/LP6013_1.jpg","paquetes\productos-individuales"
"LP6014-1","Body Mist Lavanda 200 ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1454/LP6014_1.jpg","paquetes\productos-individuales"
"LP6014-2","Concentrado Lavanda 60ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1455/LP6014_2.jpg","paquetes\productos-individuales"
"LP6014-3","Crema Lavanda 35ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1456/LP6014.jpg","paquetes\productos-individuales"
"LP6015-1","Body mist Ylang Ylang 200ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1457/LP6015_3.jpg","paquetes\productos-individuales"
"LP6015-2","Concentrado Ylang Ylang 60 ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1459/LP6015_2.jpg","paquetes\productos-individuales"
"LP6015-3","Crema Ylang Ylang 35ml","$104.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1458/LP6015_1.jpg","paquetes\productos-individuales"
"12260","Top Modeling","$328.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1470/12260.jpg","paquetes\productos-individuales"
"5482","Tanga Coquet Encaje","$101.50","https://chemisette-web.s3.amazonaws.com/uploads/color/image/980/PV1706_75.jpg","paquetes\productos-individuales"
"6004","Bikini Algodón a la cadera","$90.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/988/L7.jpg","paquetes\productos-individuales"
"LP5050","Almohadilla con Encaje","$70.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1005/LP5050_93.jpg","paquetes\productos-individuales"
"5688","Boxer Algodón","$150.50","https://chemisette-web.s3.amazonaws.com/uploads/color/image/234/5688_L5_2.jpg","paquetes\productos-individuales"
"0976","Cotton Pads (20 piezas)","$30.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1150/0976.jpg","paquetes\productos-individuales"
"LS5017","Programa Quantum","$349.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1024/deregan_pqiopmp.jpg","paquetes\productos-individuales"
"LS5024","Programa Quantum con Quinoa y Arándano","$329.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1033/LS5022_11.jpg","paquetes\productos-individuales"
"0885","Vaso shaker 600 ml","$130.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1136/PV1720.jpg","paquetes\productos-individuales"
"0877","Tarjetas línea D'luz","$8.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1139/TarjetasDluz.jpg","paquetes\productos-individuales"
"0956","Set de romero","$349.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1133/P_LT1023_01.jpg","paquetes\productos-individuales"
"SLAP13","Mini muestras energizante (2 muestras)","$55.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1142/slapenergizante.jpg","paquetes\productos-individuales"
"SLAP14","Mini muestras saludable (2 Muestras)","$55.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1141/SLAPSALUDABLE.jpg","paquetes\productos-individuales"
"SLAP15","Mini muestras relajante (2 piezas)","$55.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1140/SLAP_RELAJANTE.jpg","paquetes\productos-individuales"
"LS5018","6 barras Quantum + 6 sobres de malteada Quantum","$200.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1143/PASO2.jpg","paquetes\productos-individuales"
"0837","Manual de uso para guía conSentidos Chemisette","$35.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1152/GUI_ACONSENTIDOS.jpg","paquetes\productos-individuales"
"0957","Set de Romero muestras 35ml","$70.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1156/muestrasromero.jpg","paquetes\productos-individuales"
"LP6001M","Gel Vitalité muestra","$0.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1155/MUESTRA_GELVITALITE.jpg","paquetes\productos-individuales"
"0963","Díptico Club Cisne Dorado - Colección 2017","$0.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1146/dipticocisnedorado.jpg","paquetes\productos-individuales"
